,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
120,1009186,Black Knight (Sir Percy of Scandia),106,57,105,3
355,1011072,Edwin Jarvis,105,31,110,5
634,1009385,Karnak,105,50,114,8
1183,1017603,Spider-Gwen (Spider-Gwen),103,32,107,2
997,1009523,Quasar (Phyla-Vell),101,29,161,7
521,1011428,Hope Summers,101,23,136,6
435,1011285,Generation X,100,10,105,1
1023,1011360,Red Hulk,99,27,134,5
761,1011335,Maria Hill,99,28,120,8
304,1010890,Deathlok,99,31,110,3
490,1009486,Harry Osborn,98,23,123,4
1405,1009699,Vulture (Adrian Toomes),97,47,103,1
276,1011001,Daken,97,26,103,1
235,1009239,Clea,97,28,118,2
815,1009447,Mister Sinister,96,50,99,6
908,1009476,Northstar,95,27,111,6
724,1010805,Machine Man,94,27,115,1
1077,1009560,Sasquatch (Walter Langkowski),94,34,112,4
882,1010683,New Warriors,94,19,131,4
738,1009415,Magik (Illyana Rasputin),94,33,110,8
1270,1009648,Taskmaster,93,38,114,6
1213,1010733,Star-Lord (Peter Quill),93,36,136,4
133,1009191,Blade,92,44,105,3
820,1011220,Mockingbird,91,41,93,5
6,1009148,Absorbing Man,91,47,104,4
664,1009393,Lady Deathstrike,91,33,94,2
838,1009454,Morbius,90,38,103,3
1459,1009720,Wong,89,27,99,3
1005,1009430,Rachel Grey,88,34,95,8
1046,1010744,Rocket Raccoon,88,38,98,4
674,1009399,Legion,88,30,98,5
695,1009404,Lizard,88,33,103,3
406,1009470,Foggy Nelson,88,33,120,3
357,1009287,Electro,88,43,97,2
704,1009408,Longshot,86,26,105,5
732,1009413,Madrox,84,10,89,3
942,1009494,Pepper Potts,84,20,121,2
509,1010759,Heroes For Hire,84,11,94,3
1243,1009636,Sunfire,84,38,95,6
226,1009733,Charles Xavier,83,38,92,4
449,1009321,Gladiator (Kallark),83,43,77,3
1083,1011426,Scarlet Spider (Kaine),83,21,89,1
166,1009211,Bucky,82,36,96,1
763,1009425,Marrow,82,22,103,1
495,1010808,Hawkeye (Kate Bishop),82,31,80,3
699,1009406,Lockjaw,82,46,93,3
241,1010676,Colleen Wing,81,21,87,3
939,1009492,Patriot,81,16,81,2
500,1010351,Hellcat (Patsy Walker),80,34,81,1
314,1017583,Devil Dinosaur (Devil Dinosaur),80,28,81,2
862,1009464,Mysterio,80,32,89,1
754,1009421,Mandarin,80,29,102,1
286,1011367,Dark Avengers,79,22,109,2
474,1009619,Gwen Stacy,77,27,72,1
344,1010735,Drax,77,41,79,3
582,1009538,Iron Patriot (James Rhodes),76,28,100,4
139,1009199,Blob,76,31,79,7
440,1010925,Ghost Rider (Daniel Ketch),75,22,81,1
626,1010760,Justice,75,18,94,7
609,1009376,Jocasta,74,14,76,6
1154,1011223,Skaar,74,13,93,3
832,1017814,Moon Girl (Lunella Layfayette),74,23,74,1
1357,1009683,Uatu The Watcher,72,33,96,3
1034,1009537,Rhino,72,43,79,2
178,1009216,Caliban,70,16,75,6
75,1009163,Aurora,70,16,82,4
790,1009439,Meltdown,70,12,95,1
1342,1009692,Toxin (Eddie Brock),69,29,81,2
824,1009449,Mole Man,69,42,76,1
207,1011258,Carlie Cooper,69,3,93,1
1481,1010698,Young Avengers,68,20,71,4
425,1010763,Gamora,68,30,72,5
656,1009391,Kraven the Hunter,68,38,79,1
106,1009548,Betty Ross,68,18,116,1
836,1009451,Moondragon,68,27,83,4
341,1010677,Dracula,67,42,88,1
941,1009493,Penance (Robert Baldwin),67,20,84,6
154,1010366,Boom Boom,67,18,75,7
1043,1009545,Robbie Robertson,66,23,68,1
1375,1009525,Valeria Richards,66,11,73,4
911,1017078,Nova (Sam Alexander),66,19,69,1
49,1009154,Annihilus,65,30,82,1
63,1010784,Ares,65,32,75,5
1098,1009570,Sentinel,65,28,67,5
1346,1010335,Triton,65,34,72,5
698,1009405,Lockheed,65,24,68,4
456,1009324,Gorgon,64,36,69,5
1115,1009578,Shanna the She-Devil,64,27,81,1
348,1009284,Dum Dum Dugan,64,24,80,3
137,1009197,Blink,63,23,67,3
391,1009301,Fantomex,62,16,70,4
155,1009205,Boomer,62,12,73,2
279,1009453,Dani Moonstar,62,17,80,6
872,1009469,Namorita,62,22,70,7
197,1011096,Captain Marvel (Genis-Vell),62,5,90,1
984,1009513,Puck,60,18,75,2
1257,1009641,Swordsman,60,25,56,4
29,1009435,Alicia Masters,60,20,84,2
740,1009416,Magma (Amara Aquilla),59,22,67,5
898,1009473,Nightmare,59,25,72,4
444,1009320,Giant Man,58,23,61,3
1149,1010898,Sin,58,18,71,3
1099,1011323,Sentinels,58,31,54,4
1236,1011051,Strong Guy,58,10,64,2
1356,1009682,U.S. Agent,57,21,66,2
1181,1009157,Spider-Girl (Anya Corazon),57,14,66,2
1057,1010344,Ronan,56,26,62,5
1438,1009714,Wiccan,55,23,55,4
920,1009482,Omega Red,55,20,60,1
1312,1017576,Thor (Goddess of Thunder),55,28,55,3
897,1010349,Nighthawk,55,20,58,1
189,1017575,Captain America (Sam Wilson),54,24,55,2
1079,1009561,Sauron,54,27,57,1
319,1009274,Diamondback (Rachel Leighton),54,10,61,3
275,1010719,Daimon Hellstrom,53,24,58,3
537,1010932,Human Torch (Jim Hammond),53,23,49,1
102,1010782,Ben Urich,53,27,58,4
4,1009146,Abomination (Emil Blonsky),53,26,63,1
338,1009280,Dormammu,53,27,58,1
633,1011386,Karma,52,11,68,2
995,1009522,Pyro,52,21,57,5
375,1010807,Eternals,52,18,90,1
222,1009233,Chamber,52,17,52,1
290,1011020,Darkhawk,51,16,53,2
259,1009252,Crossbones,51,24,61,2
1201,1009614,Spiral (Rita Wayword),50,22,52,4
823,1009448,Mojo,50,30,54,2
1435,1010853,White Tiger (Angela Del Toro),50,11,53,5
1031,1011376,Reptil,50,6,61,3
871,1009468,Namora,50,17,90,3
758,1011026,Mantis,50,13,56,4
672,1009398,Leader,49,16,68,2
1237,1009632,Stryfe,49,21,54,1
1400,1009696,Viper,49,24,46,1
767,1009427,Marvel Boy,49,23,88,4
1001,1009387,Quentin Quire,48,14,48,1
1334,1009673,Toad,48,31,41,3
1169,1009606,Snowbird,48,12,68,3
